Code,Title,Description,Diagnosis,"T Code","M Code","P Code",Classification,"Cancer Register",RCPath
"46350D-Post-inflammatory pigme",,"Multiple levels have been cut and examined. Skin with mild epidermal atrophy. No interface change is seen. In the papillary dermis numerous melanophages are seen with mild chronic inflammation. Dermal sclerosis is not evident although very early changes can be difficult to appreciate. There is no loss of elastin (EVG). There is no dysplasia or malignancy. 

The features are those of post-inflammatory pigmentation and the aetiology is not apparent.  No fungal hyphae are seen on special stains. I considered Amyloid deposition, however, there were no apoptotic keratinocytes or globules in the dermis. Clinicopathological correlation is advised.","Skin: excision - Post-inflammatory pigmentation ",t01000,40000infectivecause,,,,
"36320A-No urticaria ",,"Skin with basket weave keratin and mild acanthosis. The dermis show superficial vascular ectasia with solar elastosis and patchy peri-vascular chronic inflammation. No acute inflammation or eosinophils are seen. No fibrinoid necrosis of vessels is seen. There is no red cell extravasation to suggest a vasculitis. 

The features are minimal with superficial vascular ectasia and mild chronic inflammation. 

Direct immunofluorescence has been requested and a supplementary report will follow.","Skin: excision - No urticaria ",,8120,,,,
36320B-Urticaria,,"Skin with normal epidermis. In the dermis there is a perivascular acute inflammatory infiltrate composed of neutrophils and some eosinophils. No fibrinoid necrosis of vessels is seen. There is no red cell extravasation to suggest an vasculitis. The features either represent a resolving urticarial vasculitis where the distinctive features are no longer present or just urticaria. Clinicopathological correlation is advised. ","Skin: excision - Urticaria ",t01000,48130nodularprurigo,,,,
"36320C-Urticarial vasculitis",,"Skin with normal epidermis. In the dermis there is a perivascular acute inflammatory infiltrate composed of neutrophils and some eosinophils. No fibrinoid necrosis of vessels is seen. There is no red cell extravasation. The features fall into the spectrum of urticarial vasculitis. Clinicopathological correlation is advised. ","Skin: excision - Urticarial vasulitis ",t01000,48820seborrhoiecdermatitis.,,,,
"40000D-Infective casuse ",,"Skin with pseudoepitheliomatous hyperplasia and a suppurative granulomatous dermal inflammatory cell infiltrate with Langhan's giant cells. No caseation necrosis is seen or acute vasculitis. Special stains for fungal hyphae, bacterial colonies and mycobacterium are negative; a negative result does not exclude infection. The features are suggested of a cutaneous infection although special stains have proved to be negative. One may consider tuberculosis or a deep fungal infection as possible differentials. Clinicopathological correlation is required and tissue culture is advised. ","Skin: excision - Infective cause ",t01000,36150venousstasis,,,,
"48130A-Lichen simplex chronicu",,"Skin with hyperkeratosis, marked acanthosis, dermal chronic inflammation and dermal scarring and fibrosis. No malignancy is seen. The features are reactive in nature and indicate lichen simplex chronicus/ nodular prurigo. ","Skin: excision - Lichen simplex chronicus ",t01000,36150(venousstasis)venousstasiswithliodermatosclerosis,,,,
"48130B-Nodular prurigo ",,"Skin with hyperkeratosis, focal parakeratosis, irregular acanthosis and dermal fibrosis and neovascularisation. No dysplasia or malignancy is seen. The features are in keeping with nodular prurigo. ","Skin: excision - Nodular prurigo ",t01000,5500,,,,
"48130C-Seborrhoiec dermatitis ",,"Skin with hyperkeratosis and parakeratotic parafollicular lipping associated with moderate spongiosis. Patchy dermal inflammation is seen. No fungal hyphae are noted on special stains. The features are suggestive of seborrhoeic dermatitis. ","Skin: excision - Seborrhoiec dermatitis. ",t01000,43000,,,,
"37150A-Venous stasis",,"Skin with hyperkeratosis, irregular acanthosis and mild spongiosis. There is a proliferation of capillaries in the papillary dermis with red cell extravasation and associated inflammatory cells. No dysplasia or malignancy is seen. The features are those of venous stasis. ","Skin: excision - Venous stasis ",t01000,58770,,,,
"361590B-venous stasis with lip",,"Skin with superficial subcutis showing hyperkeratosis, irregular acanthosis and mild spongiosis. There is a proliferation of capillaries in the papillary dermis with red cell extravasation and associated inflammatory cells. There is dermal fibrosis and fat atrophy, however, the biopsy is too superficial to make a diagnosis of lipodermatosclerosis, where deep? subcutaneous fat is required. No dysplasia or malignancy is seen. The features are those of venous stasis with dermal fibrosis ","Skin: excision - Venous stasis with liodermatosclerosis ",t01000,8600alopecia,,,,
"075610 -Calcinosis cutis",,"Skin with epidermal acanthosis and aggregates of dystrophic calcification in the papillary dermis associated with inflammation. No cause of the calcification is apparent. It is seen in a wide range of lesions (inflammatory , such as dermatomyositis, and neoplastic , such as trichoepithelioma). No malignancy is seen. The features are those of calcinosis cutis. ","Skin: excision - Calcinosis cutis ",t01000,58770,,,,
"58770-Perivascular chronic inf",,"Skin with normal basket weave keratin and mild acanthosis. There is possible subtle interface change although one is not certain. In the dermis there is a superficial and deep, light perivascular and periadnexal chronic inflammatory cell infiltrate. Basement membrane thickening and mucin deposition are not appreciable (DPAS negative). 

The features are those of a superifical and deep perivsacular and periadenxal dermatitis; direct immunofluorescence has been requested and a supplementary report will follow. ","Skin: excision - Perivascular chronic inflammation",,58730,,,,
"D023010A-Discoid lupus",,"Skin with mild hyperkeratosis, follicular plugging and mild acanthosis. There is subtle interface change which is mainly vacuolar type. In the dermis there is a superficial and deep, light perivascular and periadnexal chronic inflammatory cell infiltrate.Pigment incontinence is evident. Basement membrane thickening and mucin deposition are not appreciable (DPAS negative). 

The features are those of a lichenoid interface dermatitis; direct immunofluorescence has been requested and a supplementary report will follow. 
 Clinicopathological correlation is required and correlation with immunofluorescence. ","Skin: excision - Discoid lupus ",t01000,58730,,,,
"central centrifugal cicatricia",,"Horizontal sections of skin including subcutaneous fat. The biopsy is 4.8 mm wide. The epidermis shows mild acanthosis and basal pigmentation. In the dermis there are 8 terminal hair follicles showing 6 anagen hairs and 1 telogen/ catagen hair. One hair bulb is seen. Four follicular units are noted. There is focal evidence of polytrichosis. Variably dense lymphocytic peri-follicular chronic inflammation, primarily involving the upper isthmus and lower infundibulum. A number of the hair follicles show eccentric epithelial atrophy and concentric lamellar fibroplasia. Total destruction of follicular epithelium is noted with hair shaft fragments. Twenty five fibrous columns are present. Sebaceous glands are markedly reduced and absent is areas. Seven vellus hairs are noted. No basement membrane thickening or mucin deposition is appreciable. 

Vertical sections of skin including subcutaneous fat. The biopsy is 4 mm wide and extends to a depth of 5.2 mm deep. The epidermis shows basket weave keratin with mild atrophy and basal pigmentation. No interface change is seen in the epidermis. In the dermis there are 2 terminal hair follicles in anagen phase and 1 vellus hair. One hair bulb is seen. Dermal scarring is noted. Sebaceous glands are absent. No basement membrane thickening or mucin deposition is appreciable. 

Comment:

The features are those of end stage scarring alopecia showing marked reduction in hair density with the majority of the biopsy replaced by fibrous tissue. The advanced lesion shows the characteristic features of central centrifugal cicatricial alopecia as described in the horizontal sections.
",,,,,,,
"Lupus or lichenplanopilaris ",,"Skin with follicular plugging and mild acanthosis. There is focal interface change and early sub,epidermal clefting. In the dermis the terminal hair follicles show evidence of regression with an associated superficial and deep, perivascular and periadnexal chronic inflammatory cell infiltrate associated with interface change. Basement membrane thickening and mucin deposition is not appreciable. The features are those of a lichenoid interface dermatitis and the differential includes lupus and lichen planopilaris. There is no evidence of morphea. Clinicopathological correlation is required and correlation with immunofluorescence. ","Skin: excision - Lupus or lichenplanopilaris ",t01000,"58770lupus

58720alopecialupus",,,,
"D023010B -lichen planopilaris ",,"Vertical sections of skin including subcutaneous fat. The biopsy is 2.4 mm wide and extends to a depth of 4.2 mm deep. The epidermis shows basket weave keratin with mild acanthosis. No interface change is seen in the epidermis. In the dermis there are 3 terminal hair follicles showing Anagen hairs. Three hair bulbs are seen. The anagen terminal hairs show peri-follicular infundibular chronic inflammation and evidence of damage to the basal follicular epithelium (squamatisation of the basal cell layer). Peri-follicular fibrosis is noted with wedge shaped loss in elastin fibers on EVG. Sebaceous glands are reduced and absent is areas. Two vellus hairs are noted in telogen phase. No basement membrane thickening or mucin deposition is appreciable (PAS stain). 

The features are those of a scarring alopecia and those of lichen planopilaris.","Skin: excision - Lichenplanopilaris - vertical",t01000,8740,,,,
"D023010C - Lichenplanopilaris ",,"Horizontal sections of skin including subcutaneous fat. The biopsy is 2.6 mm wide. In the dermis there are 14 terminal hair follicles showing Anagen hairs. Two hair bulbs are seen. Six follicular units are noted. There is focal evidence of polytrichosis. The anagen terminal hairs show peri-follicular infundibular chronic inflammation and evidence of damage to the basal follicular epithelium (squamatisation of the basal cell layer). Peri-follicular fibrosis is noted. Sebaceous glands are reduced and absent is areas. Eleven vellus hairs are noted. No basement membrane thickening or mucin deposition is appreciable. 

The features are those of a scarring alopecia and those of lichen planopilaris.","Skin: excision - Lichenplanopilaris - horizontal",,49000endstagealopecia,,,,
"49000-Traction alopecia ",,"Vertical sections of skin with a normal epidermis. There are 3 terminal hair follicles; 2 anagen phase and 1 catogen /telogen. One vellus hair is seen. No interface change is seen or thickened basement membrane. The dermis shows fibrous stellae but scarring is not present. There is mild perifollicular dermal inflammation. The sebaceous glands are relatively preserved. 

Horizontal sections of skin including subcutaneous fat. The biopsy is 3.5 mm wide. In the dermis there are 6 terminal hair follicles showing 5 Anagen hairs and 1 catogen /telogen. Two hair bulbs are seen. Five follicular units are noted. The anagen terminal hairs show peri-follicular infundibular chronic inflammation but no evidence of damage to the basal follicular epithelium. Sebaceous glands are reduced. Vellus hairs are noted. No basement membrane thickening or mucin deposition is appreciable. No peribulblar inflammation is present to indicate alopecia areata. 


COMMENT: 

The features are those of a non-scarring alopecia and the features are in keeping with chronic traction alopecia. Cicatricial marginal alopecia can not be reliably distinguished from traction alopecia based on histology although fibrous streamers are said to extend up to the isthmus in the former diagnosis whereas they are more extensive and superficial in this current biopsy.","Skin: excision - Traction alopecia ",,8600,,,,
49001-Trichotillomania,,"Horizontal sections of skin including subcutaneous fat. The biopsy is 4.8 mm wide. In the dermis there are 23 terminal hair follicles showing 14 Anagen hairs and 9 catogen /telogen. Several hair bulbs are seen. Fourteen follicular units are noted. The anagen terminal hairs show mild patchy chronic inflammation but no evidence of damage to the basal follicular epithelium. Sebaceous glands are reduced. Vellus hairs are noted. No basement membrane thickening or mucin deposition is appreciable. No peribulblar inflammation is present to indicate alopecia areata. The terminal hairs show distorted follicular anatomy: Pigment casts are seen frequently as a result of pigmented hair matrix torn from its moorings with associated trichomalacia. 

Vertical sections of skin with a normal epidermis. There are 5 terminal hair follicles; 3 in anagen phase and 2 catogen /telogen. One vellus hair is seen. No interface change is seen or thickened basement membrane. The dermis shows fibrous stellae but scarring is not present. There is focal acute folliculitis which is likely to be incidental. The sebaceous glands are relatively preserved. Pigment casts are seen and distorted hair follicles. 



COMMENT: 

The features are those of a non-scarring alopecia and are those of Trichotillomania. 
","Skin: excision - Trichotillomania alopecia ",,,,,,
"8600A-Lupus produndus ",,"The histopathological findings of the lesional skin were as follows: In the epidermis, hyperkeratosis and follicular keratotic plugs were seen. In the dermis, the most prominent findings were perifollicular lymphoid cell infiltrates and frequent catagen hair follicles (Fig. 1B, C). About two thirds of the hair follicles were in their catagen stage, but the catagen follicles still showed the transient part of the hair follicle, and around which there were dense lymphocytic infiltrates. Less frequently, telogen follicles with hair germs and anagen follicles were found. Inflammatory cell infiltrates were also present in the area of the sweat glands. In the subcutaneous fat tissue, there was abundant mucin deposition within and between the fat lobules with some lymphoid cell infiltrates (Fig. 1C). Perineural inflammatory cell infiltrates were also found below the fat lobules. The routine lab tests were normal. Direct immunofluorescent testing of the tissue for IgM, IgG, IgA, C3 and fibrinogen was negative.The diagnosis of the case was most compatible with lupus erythematous profundus.","Skin: excision - Lupus produndus ",,8740alopeciascarring,,,,
"8740-Alopecia ? Scarring ? no ",,"Vertical section of skin with mild atrophy of the epidermis. There are three anagen terminal hair follicles and one catagen. No interface change is seen or thickened basement membrane. The dermis shows fibrosis and fibrous stellae. There is no dermal inflammation. The features are those of a scarring alopecia. There are no specific features of lupus erythematosus or lichen planopilaris but may represent late stages of either of these two conditions. One can also consider Brocq's alopecia. Clinicopathological correlation is required and correlation with immunofluorescence. ","Skin: excision - Alopecia ? Scarring ? no cause ",t01000,8740alopeciascarring,,,,
"8600B-End stage alopecia",,"Vertical section of skin with mild epidermal pigmentation. The biopsy is 1.9 mm wide to a depth of 2.3 mm. No interface change is seen or thickened basement membrane. The dermis shows fibrosis and fibrous stellae with no hair follicles. EVG shows minimal loss of elastin. There is no dermal inflammation. Sebaecous glands are absent. A milial cyst is seen. The features are those of a scarring alopecia. There are no specific features of lupus erythematosus or lichen planopilaris but may represent late stages of either of these two conditions. One can also consider Brocq's alopecia. Clinicopathological correlation is required and correlation with immunofluorescence. ","Skin: excision - End stage alopecia",t01000,8740alopeciascarring,,,,
"8740B-Alopecia areata",,"Vertical sections of skin show mild hyperkeratosis and acanthosis. There are three terminal hair follicles; two in anagen phase, 1 in catogen/ telogen phase. No interface change is seen or thickened basement membrane (PAS negative). The dermis shows inflamed fibrous stellae but scarring is not present (EVG negative). There is mild peri-follicular dermal inflammation and focal inflammation of a hair bulb. 

The features are those of a non-scarring alopecia and raise the possibility of alopecia areata. Clinicopathological correlation is required.   Please note: it is not possible to fully assess non scarring alopecias without hair follicle counts as outlined by the North American Hair Research Society and these can only be done on horizontal sections; hence two 4 mm biopsies are recommended, one for vertical sectioning and the other horizontal.","Skin: excision - Alopecia areata",,8600,,,,
"58620A-Folliculitis Decalvans ",,"Vertical sections of skin including subcutaneous fat. The biopsy is 2.4 mm wide and extends to a depth of 4.2 mm deep. The epidermis shows basket weave keratin with mild acanthosis. No interface change is seen in the epidermis. In the dermis there are 3 terminal hair follicles showing Anagen hairs. Three hair bulbs are seen. The anagen terminal hairs show peri-follicular infundibular chronic inflammation and evidence of damage to the basal follicular epithelium (squamatisation of the basal cell layer). Peri-follicular fibrosis is noted with wedge shaped loss in elastin fibers on EVG. Sebaceous glands are reduced and absent is areas. Two vellus hairs are noted in telogen phase. No basement membrane thickening or mucin deposition is appreciable (PAS stain). 

The features are those of a scarring alopecia and those of lichen planopilaris.","Skin: excision - Folliculitis Decalvans - vertical",t01000,58620,,,,
"58620B-Folliculitis Decalvans ",,"Horizontal sections of skin. The biopsy is 4.1 mm wide. In the dermis there are 21 terminal hair follicles showing Anagen hairs. Six follicular units are noted. There is widespread polytrichosis. The anagen terminal hairs show prominent peri-follicular chronic inflammation and fibrosis. There is no convincing basal follicular epithelial damage. Sebaceous glands are absent is areas. No basement membrane thickening or mucin deposition is appreciable. Chronic active inflammation is seen.",,,58620,,,,
"58620C-Androgenetic alopecia -",,"Vertical sections of skin with a normal epidermis. There are 4 terminal hair follicles; 1 anagen phase and 3 catogen /telogen. Two vellus hairs are seen. No interface change is seen or thickened basement membrane. The dermis shows fibrous stellae but scarring is not present (EVG). There is mild perifollicular dermal inflammation. 

The features are those of a non-scarring alopecia and the increased vellus to terminal hair ratio is suggestive of androgenetic alopecia. No peribulblar inflammation is present to indicate alopecia areata. 

To fully assess non scarring alopecias, two punch biopsies should be submitted for horizontal and vertical sectioning.","Skin: excision - Androgenetic alopecia - verticals",,58605,,,,
"58605-Alopecia ? non scarring ",,"Vertical section of skin with follicular plugging. There are five terminal hair follicles; three in anagen, 1 in catoagen and 1 in telogen. No interface change is seen or thickened basement membrane. The dermis shows fibrous stellae but scarring is no present. There is mild perifollicular dermal inflammation. The features are those of a non,scarring alopecia. It is not possible to determine possible causes as this is depend on the hair follicle counts as outlined by the North American Hair Research Society and only be done on horizontal sections. Clinicopathological correlation is required and correlation with immunofluorescence. ","Skin: excision - Alopecia ? non scarring ? no cause ",t01000,,,,,
Alopecia,,"The features are those of a non-scarring alopecia and the increased vellus to terminal hair ratio is suggestive of androgenetic alopecia with superimposed increased telogen/ catogen ratio indicating superficial telogen effluvium. No peri-bulblar inflammation is present to indicate alopecia areata. Female pattern hair loss can sometimes be unmasked by superficial telogen effluvium. ",,,8840,,,,
"8840A-Androgenetic and scarrin",,"Vertical sections of skin including subcutaneous fat. Normal epidermis is noted. There are 3 terminal hair follicles; 2 anagen phase and 1 catogen /telogen. Three vellus hairs are seen. No interface change is seen or thickened basement membrane. Sebaceous glands are reduced. The dermis shows fibrous stellae and mild scarring. There is mild perifollicular dermal inflammation. Foreign body giant cell reaction is seen.

Horizontal sections of skin including subcutaneous fat. The biopsy is 4 mm wide. In the dermis there are 15 terminal hair follicles showing 10 anagen hairs and 5 catogen /telogen. Four hair bulbs are seen. Five follicular units are noted. Foreign body giant cell reaction is seen. The anagen terminal hairs show peri-follicular infundibular chronic inflammation and squamatisation of the basal follicular epithelium. Sebaceous glands are reduced. Six vellus hairs are noted. No basement membrane thickening or mucin deposition is appreciable. 

COMMENT: 

The features are those of a combined scarring and non-scarring alopecia; the scarring is in keeping with lichen plano-pilaris and the increased vellus to terminal hair ratio is suggestive of androgenetic alopecia. No peribulblar inflammation is present to indicate alopecia areata.","Skin: excision - Androgenetic and scarring overlap",,8840,,,,
"8840B-Androgenetic alopecia - ",,"Vertical sections of skin including subcutaneous fat. Normal epidermis is noted. There are 7 terminal hair follicles; 6 anagen phase and 1 catogen /telogen. Two vellus hairs are seen. No interface change is seen or thickened basement membrane. The dermis shows fibrous stellae (2) but scarring is not present. There is mild perifollicular dermal inflammation. 

Horizontal sections of skin including subcutaneous fat. The biopsy is 3 mm wide. In the dermis there are 15 terminal hair follicles showing 12 anagen hairs and 3 catogen /telogen. Four hair bulbs are seen. Five follicular units are noted. The anagen terminal hairs show peri-follicular infundibular chronic inflammation but no evidence of damage to the basal follicular epithelium. Sebaceous glands are normal. Seven vellus hairs are noted. No basement membrane thickening or mucin deposition is appreciable. 

COMMENT: 

The features are those of a non-scarring alopecia and the increased vellus to terminal hair ratio is suggestive of androgenetic alopecia. No peribulblar inflammation is present to indicate alopecia areata.","Skin: excision - Androgenetic alopecia - verticals/ horizontals ",,8840,,,,
"8840C-Telogen effluvium",,"Vertical sections of skin including subcutaneous fat. Normal epidermis is noted. There are 6 terminal hair follicles; 3 anagen phase and 3 catogen /telogen. One vellus hair is seen. No interface change is seen or thickened basement membrane. The dermis shows fibrous stellae (3) but scarring is not present. There is mild perifollicular dermal inflammation. 

Horizontal sections of skin including subcutaneous fat. The biopsy is 4.5 mm wide. In the dermis there are 29 terminal hair follicles showing 13 anagen hairs and 16 catogen /telogen. Nine hair bulbs are seen. Four follicular units are noted. 16 fibrous streamers are noted. Minimal chronic inflammation is noted. Mild peri-follicular fibrosis is seen around some of the hair follicles. There is no evidence of damage to the basal follicular epithelium. Sebaceous glands are normal. Five vellus hairs are noted. No basement membrane thickening or mucin deposition is appreciable. 

COMMENT: 

The features are those of a non-scarring alopecia and with significant increase in the percentage of telogen hairs.  No peribulblar inflammation is present to indicate alopecia areata. The features are entirely in keeping with chemotherapy induced alopecia. 
","Skin: excision - Telogen effluvium",,4210granulomasarcoid,,,,
"8840B2-Post chemotherapy alope",,"Horizontal sections of skin including subcutaneous fat. The biopsy is 4.5 mm wide. In the dermis there are 21 terminal hair follicles showing 17 anagen hairs and 5 catogen /telogen. Seven hair bulbs are seen. Ten follicular units are noted. Seven fibrous tracts are noted. Minimal non specific chronic inflammation is seen with no evidence of damage to the basal follicular epithelium. Sebaceous glands are normal. Twelve vellus hairs are noted. No basement membrane thickening or mucin deposition is appreciable. 

Vertical sections of skin including subcutaneous fat. Normal epidermis shows mild atrophy. There are 3 terminal hair follicles; 2 anagen phase and 1 catogen /telogen. Two vellus hairs are seen. No interface change is seen or thickened basement membrane. The dermis shows fibrous stellae (2) but scarring is not present. There is minimal dermal inflammation. 


COMMENT: 

The features are those of a non-scarring alopecia with follicular loss (low density)  and an increased vellus to terminal hair ratio (as described in androgenetic alopecia), however there is also an increase in telogen/ catagen count (23 %) a finding which anecdotally we have seen in cases of permanent alopecia after chemotherapy.  As far as I know, they are not viable follicle; stuck in that resting stage.  No peribulblar inflammation is present to indicate alopecia areata.
",,,,,,,
"8840D-Classic Psoriasis ",,"Skin with hyperkeratosis, regular acanthosis, thinning of the suprapapillary plate and focal spongiosis. Intracorneal neutrophils are noted. There is dermal chronic inflammation. Vascular ectasia is also evident.?The features are highly suggestive of psoriasis. There is no evidence of granuloma annulare. Special stains for fungal hyphae have been requested and a supplementary report will follow. ","Skin: excision - Classic Psoriasis ",t01000,8840psoriasis/48100eczema,,,,
"8840E-Pustular Psoriasis ",,"Skin with compact parakeratosis, irregular acanthosis, mild thinning of the suprapapillary plate and dermal papillary oedema. There is dermal chronic inflammation. Clusters of neutrophils are seen in the spinous zone (a microabscess of Munro), in sponge-like array in the upper part of the epidermis (spongiform pustule of Kogoj) and beneath the normal stratum corneum (subcorneal pustule). Vascular ectasia is also evident.?The features are highly suggestive of pustular psoriasis. No fungal hyphae are seen on special stains (DPAS). ","Skin: excision - Pustular Psoriasis ",t01000,,,,,
"5620-Guttate Psorasis",,"Skin with mild acanthosis and minimal spongiosis. Intracorneal neutrophils are seen. No fungal hyphae are seen on specials stains. ","Skin: excision - Guttate Psorasis",,,,,,
44000-Sarcoidosis,,"Skin with normal epidermis. In the dermis are well formed granulomas without caseation. No interface change is seen. No dysplasia or malignancy is seen. The features are in keeping with sarcoidosis.","Skin: excision - Sarcoidosis",,5620,,,,
"8840F-Psoriasis or Eczema ",,"Skin with hyperkeratosis, focal parakeratosis,? irregular acanthosis, thinning o the suprafocal spongiosis with aggregates of Langerhan's cells. Intracorneal neutrophils are noted. There si dermal firbosis and chronic inflammation. Vascular ectasis is not prominent. The features favour a spongiotic dermatitis over psoriasis, such as eczema. Special stains for fungal hyphae have been requested and a supplementary report will follow. ","Skin: excision - Psoriasis or Eczema ",t01000,5620,,,,
"5620-Erythema Nodosum ",,"Skin with normal epidermis and dermis. The subcutis shows a septal panniculitis. The infiltrate is composed of lymphocytes with aggregates of histiocytes. Occasional multinucleate giant cells are seen.? There is no acute inflammation or vasculitis. No well formed granulomas are seen as in sarcoidosis. The features are in keeping with erythema nodosum. ","Skin: excision - Erythema Nodosum ",t01000,5380xanthogranulomajuvenile,,,,
"5380-Xanthogranuloma ",,"Skin with a completely excised xanthogranuloma. There is no dysplasia or malignancy. ","Skin: excision - Xanthogranuloma ",t01000,5500calcinosiscutis,,,,
"5500-Scrotal calcinosis ",,"Skin with a dermal nodule showed calcium deposition, and basophilic material with sparse inflammation. The features are those of Scrotal calcinosis. Even though the pathogenic mechanism of this entity is still unclear, one theory is that this represents dystrophic calcification of epidermoid cyst. There is no dysplasia or malignancy. ","Skin: excision - Scrotal calcinosis ",t01000,2940,,,,
"2940-Disseminated superficial ",,"Skin with hyperkeratosis and columns of parakeratosis at an obtuse angle to the surface (cornoid lamellae). There is epidermal acanthosis and interface change. Dermal inflammation is also noted. No dysplasia or malignancy is seen. The features are entirely in keeping with disseminated superficial actinic porokeratosis. ","Skin: excision - Disseminated superficial actinic porokeratosis ",t01000,88100fibroma,,,,
"88100-Acquired digital fibroke",,"Skin with hyperkeratosis, acanthosis, and branching rete ridges in the epidermis. The dermis showed thick collagen fibers and blood vessels arranged along the long axis of the lesion. The features are in keeping with an acquired digital fibrokeratoma which is known to occur after minor trauma. The lesion is incompletely excised. No dysplasia or malignancy is seen. ","Skin: excision - Acquired digital fibrokeratoma ",t01000,14100abrasion/excoriation,,,,
"14100-Excoriated Skin",,"Skin with extensive surface scale crust and sub-epidermal fibrin suggestive of excoriation. Dermal vascular ectasia and fibrosis are noted. The adjacent epidermis shows acanthosis. No interface change or sub-epidermal split are evident. No eosinophils are seen. No fungal hyphae present on special stains. 

The features are not specific and the extensive excoriation changes may mask an underlying primary vesiculo-bullous dermatosis. Correlation with direct immunofluorescence is advised. 

The features are those of of excoriated skin. ","Skin: excision - Excoriated Skin",,d3618pemphigoidbullous,,,,
"D3618-Pre-bullous pemphigoid ",,"Skin with mild spongiosis with numerous eosinophils in the dermis. There is dermal oedema. No fungal hyphae are seen on routine stains. The features are suggestive of pre,bullous pemphigoid. Correlation with immunofluorescence is advised. ","Skin: excision - Pre-bullous pemphigoid ",t01000,6620,,,,
"6620-Rosacea ",,"Skin with mild acanthosis, superficial vascular ectasia and perifollicluar inflammation with lymphocytes and plasma cells. No granulomas are seen. Demodex mites are not visible. There is no evidence of lupus pernio or atypical mycobacterial infection. The features are in keeping with localised rosacea.? ","Skin: excision - Rosacea ",t01000,2230lymphomatoidpapulosis,,,,
"2230-Lymphomatoid papulosis ",,"Skin with normal keratin, epidermal acanthosis and focal interface change. In the dermis there is a prominent perivascular and periadnexal, superifical and deep lymphoid infiltrate composed of mature round lymphocytes mixed with slightly larger more atypical cells and occasional eosinophils and neutrophils. Dermal red cell extravasation is also noted. There is no epidermotropism. The features raise the possibility of lymphomatoid papulosis, however this requires CD30 positive staining which has been requested and a supplementary report will follow. ","Skin: excision - Lymphomatoid papulosis ",t01000,97003mycosisfungoides,,,,
"97003-Mycosis Fungoides",,"Skin with mild acanthosis and a moderate lymphoid infiltrate in the papillary dermis with epidermotropism and atypical lymphoid cells lining the basal epithelial layer. The features are in keeping with mycosis fungoides ","Skin: excision - Mycosis Fungoides",t01000,5620erythemanodosum,,,,
"5620-Lipomembranous (Membranoc",,"Skin with subcutaneous fat showing small cysts lined by amorphous, eosinophilic material having arabesque architecture. There is focal dermal fibrosis however this does not have the typical appearances of morphea. The epidermis is normal. The features are those of lipomembranous change which can present as a primary phenomenon in subcutaneous fat of skin. However, it is also seen as a secondary membranous lipodystrophy in: erythema nodosum, morphea profunda, lupus panniculitis, traumatic fat necrosis, insulin lipoatrophy etc. Clinicopathological correlation is required. ","Skin: excision - Lipomembranous (Membranocystic) Change ",t01000,76660molluscumcontagiosum,,,,
"76660-Molluscum contagiosum",,"Skin with multi,lobular lesion with squamous cells containing large, intracytoplasmic inclusion bodies. The features are those of Molluscum contagiosum. No dysplasia or malignancy is seen. The lesion is completely excised. ","Skin: excision - Molluscum contagiosum",,40750leucocytoclasticvasculitis,,,,
"40750-Leucocytoclastic vasculi",,"Skin with fibrinoid necrosis of the vessels with nuclear dust and red cell extravasation. There is no segmental hyalinizing vascular involvement of thickened dermal blood vessels as seen in atrophie blanche or other thrombocoagulopathies. The feautures are in keeping with a Leucocytoclastic vasculitis. ","Skin: excision - Leucocytoclastic vasculitis ",,"95903lymphomanosnon-hodgkin,

96023lymphomalymphoblastic,

96113lymphomalymphoplasmacytic,

96123lymphomaimmunoblastic

96143lymphomacentroblastic-centrocyticdiffuse

96203lymphomalymphocytic

96403lymphomatcell",,,,
"95903A-Lymphoma/ reactive ",,"A markedly crushed fragment of tissue with n overlying epidermis. The biopsy consists of dense lymphoid tissue however, it is not possible to further assess the biopsy. This infiltrate may be reactive or neoplastic (lymphoma) and a further biopsy is advised. Cutaneous lymphoid infiltrates readily undergo crush aretefact and so need to be very careful biopsied. ","Skin: excision - Lymphoma/ reactive ",t01000,lymphoidinfiltrate,,,,
"95903B-?Lymphoma/ reactive ",,"Skin with normal epidermis. In the dermis there are dense aggregates of lymphoid cells composed of mature round lymphocytes admixed with medium sized lymphoid cells with small nucleoli. No germinal centres are seen on routine stains. The infiltrate encroaches on the subcutis. The features are those of an atypical cutaneous lymphoid infiltrate. Referral to the regional lymphoma specialist is advised for full review and immunohistochemical work up. ","Skin: excision - ?Lymphoma/ reactive ",,49060scar,,,,
49060A-Scar,,"Skin with a dermal myofibroblastic and fibroblastic proliferation in keeping with a scar. There is no evidence of dysplasia or malignancy. The cause of the scaring is not apparent. The overlying epidermis shows mild acanthosis. ","Skin: excision - Scar ",t01000,9720,,,,
49060B-Keloid,,"Skin with mild acanthosis. There is hyalinisation of the dermal collagen in keeping with a Keloid scar. No dysplasia or malignancy is seen. ","Skin: excision - Keloid ",t01000,49060scar,,,,
"49060C-Scar reexcision no mali",,"Skin with a dermal myofibroblastic and fibroblastic proliferation in keeping with a scar. There is no evidence of dysplasia or residual malignancy.? The overlying epidermis shows mild acanthosis. ","Skin: excision - Scar reexcision",,49060scar,,,,
